project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity
nexus,Sprint 29,2014-10-28 18:37:02.051000+00:00,2014-11-11 19:37:00+00:00,5.0,300.0,0.016666666666666666,14,19.666666666666668,25.423728813559322,1,0,['alin' 'dsauble' 'mprescott' 'plynch' 'rseddon' 'cstamas'],['plynch' 'alin' 'rseddon' 'mprescott' nan 'jdillon' 'scarlucci'],7.0,2.0,3.0,6,0.11538461538461539,0.07692307692307693,22,2.25,0.4444444444444444,0.8333333333333334
nexus,Sprint 30,2014-11-11 20:05:21.113000+00:00,2014-11-25 20:05:00+00:00,3.5,53.5,0.06542056074766354,13,19.666666666666668,17.796610169491526,1,0,['jdillon' 'plynch' 'alin' 'dsauble' nan 'mprescott'],['cstamas' 'plynch' 'alin' nan 'jdillon'],5.0,2.0,1.0,6,0.045454545454545456,0.09090909090909091,23,1.75,0.5714285714285714,0.5833333333333334
nexus,Sprint 31,2014-11-25 19:57:23.619000+00:00,2014-12-09 19:57:00+00:00,1.0,181.5,0.005509641873278237,13,19.666666666666668,5.084745762711864,1,0,['rseddon' 'alin' 'mprescott' 'jdillon'],['jdillon' 'plynch' 'alin' 'dsauble' nan 'mprescott'],6.0,1.0,3.0,4,0.15,0.05,24,2.0,0.5,0.25
nexus,Sprint 32,2014-12-09 19:42:38.599000+00:00,2014-12-23 19:42:00+00:00,4.5,71.0,0.06338028169014084,13,19.666666666666668,22.881355932203387,1,0,['jdillon' 'jtom' nan 'alin' 'mprescott' 'rseddon'],['rseddon' 'alin' 'mprescott' 'jdillon'],4.0,2.0,0.0,6,0.0,0.1,25,1.5,0.6666666666666666,0.75
nexus,Sprint 33,2014-12-23 20:41:50.512000+00:00,2015-01-06 20:41:00+00:00,8.0,25.5,0.3137254901960784,13,19.666666666666668,40.67796610169491,1,0,['rseddon' 'cwilper' 'mprescott' 'alin' 'jtom' 'jdillon' nan],['jdillon' 'jtom' nan 'alin' 'mprescott' 'rseddon'],6.0,1.0,0.0,7,0.0,0.038461538461538464,26,1.25,0.8,1.1428571428571428
nexus,Sprint 34,2015-01-06 19:54:33.001000+00:00,2015-01-20 19:54:00+00:00,30.5,81.0,0.3765432098765432,13,19.666666666666668,155.08474576271186,2,0,"['jtom' 'cstamas' 'jdillon' nan 'rseddon' 'cwilper' 'mprescott' 'plynch'
 'alin']",['rseddon' 'cwilper' 'mprescott' 'alin' 'jtom' 'jdillon' nan],7.0,2.0,0.0,9,0.0,0.0625,27,1.5,0.6666666666666666,3.388888888888889
nexus,Sprint 35,2015-01-20 20:46:02.352000+00:00,2015-02-03 20:46:00+00:00,9.0,72.5,0.12413793103448276,13,19.666666666666668,45.762711864406775,1,0,"['cwilper' 'mprescott' 'krobinson' 'jtom' 'dsauble' nan 'rseddon' 'plynch'
 'alin']","['jtom' 'cstamas' 'jdillon' nan 'rseddon' 'cwilper' 'mprescott' 'plynch'
 'alin']",9.0,2.0,2.0,9,0.05555555555555555,0.05555555555555555,28,2.0,0.5,1.0
nexus,Sprint 36,2015-02-03 20:05:54.113000+00:00,2015-02-17 20:05:00+00:00,17.0,74.5,0.22818791946308725,13,19.666666666666668,86.44067796610169,1,0,['jtom' nan 'alin' 'jdillon' 'rseddon'],"['cwilper' 'mprescott' 'krobinson' 'jtom' 'dsauble' nan 'rseddon' 'plynch'
 'alin']",9.0,1.0,5.0,5,0.17857142857142858,0.03571428571428571,29,2.5,0.4,3.4
nexus,Sprint 37,2015-02-17 20:08:52.022000+00:00,2015-03-03 20:08:00+00:00,6.0,17.5,0.34285714285714286,13,19.666666666666668,30.508474576271183,1,0,['mprescott' 'rseddon' 'alin' 'dsauble' 'jtom' nan],['jtom' nan 'alin' 'jdillon' 'rseddon'],5.0,2.0,1.0,6,0.045454545454545456,0.09090909090909091,30,1.75,0.5714285714285714,1.0
nexus,Sprint 38,2015-03-03 20:06:39.965000+00:00,2015-03-17 18:00:00+00:00,24.5,68.0,0.3602941176470588,13,19.666666666666668,124.57627118644068,2,0,['alin' 'jtom' 'mprescott' 'krobinson' 'cwilper' nan 'rseddon'],['mprescott' 'rseddon' 'alin' 'dsauble' 'jtom' nan],6.0,2.0,1.0,7,0.038461538461538464,0.07692307692307693,31,1.75,0.5714285714285714,3.5
nexus,Sprint 39,2015-03-17 19:00:40.317000+00:00,2015-03-31 19:00:00+00:00,2.5,8.5,0.29411764705882354,13,19.666666666666668,12.711864406779661,1,0,['jtom' 'krobinson' 'alin' 'rseddon'],['alin' 'jtom' 'mprescott' 'krobinson' 'cwilper' nan 'rseddon'],7.0,0.0,3.0,4,0.13636363636363635,0.0,32,1.75,0.5714285714285714,0.625
nexus,Sprint 40,2015-03-31 18:59:05.893000+00:00,2015-04-14 18:59:00+00:00,7.5,20.5,0.36585365853658536,13,19.666666666666668,38.13559322033898,1,0,['jtom' 'krobinson' 'alin' 'rseddon'],[nan 'cstamas' 'jdillon' 'alin' 'rseddon' 'plynch'],6.0,2.0,4.0,4,0.2,0.1,33,2.5,0.4,1.875
nexus,Sprint 41,2015-04-14 19:17:02.078000+00:00,2015-04-28 19:17:00+00:00,26.0,86.0,0.3023255813953488,13,19.666666666666668,132.20338983050848,2,0,['jtom' 'mprescott' 'dsauble' nan 'alin' 'krobinson' 'jdillon' 'rseddon'],['jtom' 'krobinson' 'alin' 'rseddon'],4.0,4.0,0.0,8,0.0,0.16666666666666666,34,2.0,0.5,3.25
