project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity,sigma_velocity,sigma_focusfactor,zone_velocity,zone_focusfactor
mesos,Twitter Q4 Sprint 1,2014-10-06 22:00:00+00:00,2014-10-20 18:00:00+00:00,282.0,1874.0,0.15048025613660618,13,59.0,477.96610169491515,4,0,['jieyu' 'idownes' 'bmahler' 'vinodkone' 'dhamon' nan],['jieyu' 'vinodkone' 'wickman' 'pbrett' 'idownes' 'bmahler' 'wangcong'],7.0,2.0,3.0,6,0.1153846153846154,0.07692307692307693,10,2.0,0.5,47.0,2.0767948481998895,-0.06656649687239433,N,N
mesos,Twitter Mesos Q4 Sprint 2,2014-10-21 19:00:15.489000+00:00,2014-11-04 19:00:00+00:00,104.0,2274.0,0.04573438874230431,13,59.0,176.27118644067798,2,0,['chzhcn' 'jieyu' 'vinodkone' 'dhamon' 'idownes' nan],['vinodkone' 'jieyu' 'chzhcn' 'wangcong' 'bmahler'],5.0,3.0,2.0,6,0.09090909090909093,0.13636363636363635,11,2.0,0.5,17.333333333333332,1.0312070670307754,-0.46885131573423355,N,N
mesos,Twitter Mesos Q4 Sprint 3,2014-11-03 19:00:03.609000+00:00,2014-11-17 19:00:00+00:00,66.0,114.0,0.5789473684210527,13,59.0,111.86440677966101,2,0,"['jieyu' 'vinodkone' nan 'idownes' 'dhamon' 'bmahler' 'klueska'
 'klaus1982']",['chzhcn' 'jieyu' 'vinodkone' 'dhamon' 'idownes' nan],6.0,3.0,1.0,8,0.03571428571428571,0.10714285714285714,12,1.8,0.5555555555555556,8.25,0.25301073167316424,1.5789954612405281,N,N
mesos,Mesosphere Q4 Sprint 2 - 11/14,2014-11-04 18:40:28.741000+00:00,2014-11-14 18:40:00+00:00,4.0,14011.0,0.00028548997216472767,9,59.0,6.779661016949151,1,0,['bernd-mesos' 'alexr'],['cmaloney' 'bernd-mesos'],2.0,1.0,1.0,2,0.125,0.125,13,1.4,0.7142857142857143,2.0,-1.2323455535588483,-0.643401419371165,N,N
mesos,Twitter Mesos Q4 Sprint 4,2014-11-17 19:30:00+00:00,2014-12-01 19:00:00+00:00,210.0,76245.0,0.002754278969112729,13,59.0,355.9322033898305,3,0,['jieyu' 'idownes' 'bmahler' 'dhamon' 'klaus1982'],"['jieyu' 'vinodkone' nan 'idownes' 'dhamon' 'bmahler' 'klueska'
 'klaus1982']",8.0,0.0,3.0,5,0.1153846153846154,0.0,14,1.6,0.625,42.0,1.958896403596574,-0.6339198392463213,N,N
mesos,Twitter Mesos Q4 Sprint 5,2014-12-01 19:30:00+00:00,2014-12-15 19:00:00+00:00,40.0,73.0,0.547945205479452,13,59.0,67.79661016949152,1,0,['bmahler' 'chzhcn' 'jieyu' 'dhamon' 'klaus1982'],['jieyu' 'idownes' 'bmahler' 'dhamon' 'klaus1982'],5.0,1.0,1.0,5,0.05,0.05,16,1.4,0.7142857142857143,8.0,0.22075614651660364,1.4599291933911343,N,N
mesos,Mesosphere Q1 Sprint 1 - 1/23,2015-01-15 21:16:49.334000+00:00,2015-01-23 21:16:00+00:00,242.0,17655.0,0.013707165109034268,7,59.0,410.16949152542367,4,0,['mcypark' nan 'adam-mesos' 'jvanremoortere' 'bernd-mesos'],['vinodkone' 'chzhcn' 'jieyu' 'idownes' nan 'bmahler' 'tstclair'],7.0,4.0,6.0,5,0.25,0.16666666666666666,17,3.0,0.3333333333333333,48.4,2.1075615817108897,-0.5918544105432851,N,N
mesos,Twitter Mesos Q1 Sprint 1,2015-01-20 19:59:00+00:00,2015-02-03 19:48:00+00:00,40.0,7279.0,0.005495260337958511,13,59.0,67.79661016949152,1,0,['bmahler' 'jieyu' 'vinodkone' 'idownes' 'chzhcn' 'dhamon'],"['dhamon' 'jieyu' nan 'nekto0n' 'bmahler' 'vinodkone' 'alexandra.sava'
 'idownes']",8.0,1.0,3.0,6,0.10714285714285714,0.03571428571428571,18,1.8,0.5555555555555556,6.666666666666668,0.02964827536889295,-0.6233928827095159,N,N
mesos,Mesosphere Q1 Sprint 2 - 2/6,2015-01-23 16:54:34.977000+00:00,2015-02-06 16:54:00+00:00,800.0,800.0,1.0,13,59.0,1355.9322033898304,4,0,['karya' nan 'mcypark' 'adam-mesos' 'jvanremoortere' 'bernd-mesos'],['mcypark' nan 'adam-mesos' 'jvanremoortere' 'bernd-mesos'],5.0,1.0,0.0,6,0.0,0.045454545454545456,19,1.2,0.8333333333333334,133.33333333333334,3.169748806511236,3.196081517613688,D+,D+
mesos,Twitter Mesos Q1 Sprint 2,2015-02-02 20:00:10.761000+00:00,2015-02-16 19:00:00+00:00,402.0,2148.0,0.1871508379888268,13,59.0,681.3559322033898,4,0,['pbrett' 'xujyan' 'jieyu' 'dhamon' 'vinodkone' 'bmahler' 'chzhcn'],['bmahler' 'jieyu' 'vinodkone' 'idownes' 'chzhcn' 'dhamon'],6.0,2.0,1.0,7,0.038461538461538464,0.07692307692307693,20,1.6,0.625,57.42857142857143,2.286846451371237,0.07426978378435768,N,N
