project,sprint.name,sprint.startDate,sprint.endDate,key,sprint.length
mesos,Q2'14 Sprint 2,2014-05-15 21:33:30.978000+00:00,2014-05-29 00:00:00+00:00,30,13 days 02:26:29.022000000
mesos,Q2 Sprint 3,2014-05-31 00:00:30.253000+00:00,2014-06-12 00:00:00+00:00,48,11 days 23:59:29.747000000
mesos,Q2 Sprint 4,2014-06-13 23:07:41.428000+00:00,2014-06-26 00:00:00+00:00,33,12 days 00:52:18.572000000
mesos,Q2 Sprint 5,2014-06-30 19:00:15.460000+00:00,2014-07-05 00:00:00+00:00,4,4 days 04:59:44.540000000
mesos,Q3 Sprint 1,2014-07-14 19:03:06.602000+00:00,2014-07-24 00:00:00+00:00,149,9 days 04:56:53.398000000
mesos,Q3 Sprint 2,2014-07-28 19:05:43.738000+00:00,2014-08-07 00:00:00+00:00,148,9 days 04:54:16.262000000
mesos,Q3 Sprint 3,2014-08-11 19:00:25.705000+00:00,2014-08-23 00:00:00+00:00,129,11 days 04:59:34.295000000
mesos,Q3 Sprint 4,2014-08-25 21:32:11.449000+00:00,2014-09-06 01:00:00+00:00,130,11 days 03:27:48.551000000
mesos,Mesos Q3 Sprint 5,2014-09-08 18:00:33.129000+00:00,2014-09-22 18:00:00+00:00,156,13 days 23:59:26.871000000
mesos,Mesos Q3 Sprint 6,2014-09-22 18:30:00+00:00,2014-10-06 18:00:00+00:00,150,13 days 23:30:00.000000000
mesos,Twitter Q4 Sprint 1,2014-10-06 22:00:00+00:00,2014-10-20 18:00:00+00:00,213,13 days 20:00:00.000000000
mesos,Mesosphere Q4 Sprint 1 10/31,2014-10-19 18:29:03.819000+00:00,2014-10-31 17:29:00+00:00,17,11 days 22:59:56.181000000
mesos,Twitter Mesos Q4 Sprint 2,2014-10-21 19:00:15.489000+00:00,2014-11-04 19:00:00+00:00,209,13 days 23:59:44.511000000
mesos,Mesosphere Q4 Sprint 2 - 11/14,2014-11-04 18:40:28.741000+00:00,2014-11-14 18:40:00+00:00,45,9 days 23:59:31.259000000
mesos,Twitter Mesos Q4 Sprint 3,2014-11-03 19:00:03.609000+00:00,2014-11-17 19:00:00+00:00,199,13 days 23:59:56.391000000
mesos,Twitter Mesos Q4 Sprint 4,2014-11-17 19:30:00+00:00,2014-12-01 19:00:00+00:00,190,13 days 23:30:00.000000000
mesos,Mesosphere Q4 Sprint 3 - 12/7,2014-11-19 17:58:44.739000+00:00,2014-12-07 17:58:00+00:00,1152,17 days 23:59:15.261000000
mesos,Twitter Mesos Q4 Sprint 5,2014-12-01 19:30:00+00:00,2014-12-15 19:00:00+00:00,219,13 days 23:30:00.000000000
mesos,Twitter Mesos Q4 Sprint 6,2014-12-15 19:30:00+00:00,2014-12-29 19:00:00+00:00,168,13 days 23:30:00.000000000
mesos,Mesosphere Q1 Sprint 1 - 1/23,2015-01-15 21:16:49.334000+00:00,2015-01-23 21:16:00+00:00,1242,7 days 23:59:10.666000000
mesos,Twitter Mesos Q1 Sprint 1,2015-01-20 19:59:00+00:00,2015-02-03 19:48:00+00:00,226,13 days 23:49:00.000000000
mesos,Mesosphere Q1 Sprint 2 - 2/6,2015-01-23 16:54:34.977000+00:00,2015-02-06 16:54:00+00:00,1542,13 days 23:59:25.023000000
mesos,Twitter Mesos Q1 Sprint 2,2015-02-02 20:00:10.761000+00:00,2015-02-16 19:00:00+00:00,279,13 days 22:59:49.239000000
mesos,Mesosphere Q1 Sprint 3 - 2/20,2015-02-06 16:47:50.469000+00:00,2015-02-20 16:47:00+00:00,1692,13 days 23:59:09.531000000
